President Ramaphosa concerned Israel-Hamas war could spread further,"14 April 2024, 8:14 PM"
EFF urges Muslim community to reject parties supporting Israeli govt,"13 April 2024, 9:30 PM"
Twelve drown trying to reach aid at Gaza beach: Palestine authorities,"26 March 2024, 9:40 PM"
"Israel to attend new ceasefire talks, Gaza hunger crisis worsens","16 March 2024, 7:23 PM"
Israel calls on UN to press Hamas for the release of hostages,"12 March 2024, 11:18 AM"
Steenhuisen denies DA support of Israel,"5 March 2024, 9:51 AM"
Pro-Palestine protesters picket across country,"25 February 2024, 6:31 PM"
Israel intensifies strikes on Gaza’s Rafah,"22 February 2024, 6:06 AM"
"US, Russia to speak on Israeli occupation at top UN court","21 February 2024, 7:22 AM"
ICJ cannot overlook the grim situation in Palestine: Amb Madonsela,"20 February 2024, 7:15 PM"
ICJ must declare Israeli’s occupation as illegal,"19 February 2024, 3:05 PM"
ICJ opens hearings on Israel’s occupation of Palestinian territories,"19 February 2024, 9:30 AM"
SA’s move to take Israel to ICJ commended by SG of Fatah Movement,"17 February 2024, 7:03 PM"
Mandela would have approached ICJ over Palestine rights: Mashatile,"16 February 2024, 3:05 PM"
Israel not complying with ICJ order in Rafah: Pandor,"14 February 2024, 6:10 PM"
Govt concerned about attacks by Israel’s Defence Force in Rafah,"13 February 2024, 6:48 PM"
Israel’s continued bombing of Gaza is concerning: Mashatile,"11 February 2024, 6:51 AM"
Spain to send extra $3.8 million in aid to assist Palestine,"5 February 2024, 4:42 PM"
Israel’s occupation one of root causes of the conflict: Navi Pillay,"2 February 2024, 4:29 PM"
Countries must stop funding Israel’s military actions: Pandor,"31 January 2024, 6:28 PM"
ANC ready for potential sanctions over Palestine stance,"28 January 2024, 2:12 PM"
ACDP to challenge Ramaphosa on Palestine comments,"27 January 2024, 10:47 AM"
Fight for Palestine will not end with ICJ ruling: Allan Boesak,"27 January 2024, 10:18 AM"
DA calls on Israel to abide by ICJ ruling,"27 January 2024, 7:19 AM"
ANC elated with ICJ ruling in Israel-SA genocide case,"26 January 2024, 7:52 PM"
SA filed grossly unfounded case against Israel: US lawmakers,"25 January 2024, 11:47 AM"
ICJ to deliver judgment in SA-Israel case on Friday,"24 January 2024, 7:52 PM"
UN Chief urges end to Israel’s occupation,"24 January 2024, 10:02 AM"
Gift of the Givers commends SA’s ICJ case against Israel,"13 January 2024, 7:20 PM"
